Location ID,Location,Value,Rank,Anomaly (1901-2000 base period),1901-2000 Mean
IA-089,Howard County,44,73,0.3,43.7
IA-091,Humboldt County,45.9,44,-0.4,46.3
IA-093,Ida County,46.7,67,0,46.7
IA-095,Iowa County,48.7,83,0.5,48.2
IA-097,Jackson County,48.2,82,0.6,47.6
IA-099,Jasper County,48.8,72,0.2,48.6
IA-101,Jefferson County,49.1,27,-0.9,50
IA-103,Johnson County,48.5,58,0,48.5
IA-105,Jones County,48,85,0.8,47.2
IA-107,Keokuk County,49.2,70,0.2,49
IA-109,Kossuth County,45,57,-0.1,45.1
IA-111,Lee County,51,46,-0.4,51.4
IA-113,Linn County,47.3,69,0.1,47.2
IA-115,Louisa County,49.6,48,-0.3,49.9
IA-117,Lucas County,49.9,66,0.1,49.8
IA-119,Lyon County,44.9,56,-0.2,45.1
IA-121,Madison County,49.2,61,-0.1,49.3
IA-123,Mahaska County,49.7,78,0.4,49.3
IA-125,Marion County,49.6,56,-0.3,49.9
IA-127,Marshall County,47.8,74,0.3,47.5
IA-129,Mills County,50.2,58,-0.1,50.3
IA-131,Mitchell County,44.4,67,0.1,44.3
IA-133,Monona County,47.9,60,-0.1,48
IA-135,Monroe County,50.2,66,0,50.2
IA-137,Montgomery County,49.8,73,0.2,49.6
IA-139,Muscatine County,48.7,39,-0.6,49.3
IA-141,O'Brien County,45.1,53,-0.3,45.4
IA-143,Osceola County,44.2,51,-0.4,44.6
IA-145,Page County,50.6,80,0.4,50.2
IA-147,Palo Alto County,45.6,74,0.3,45.3
IA-149,Plymouth County,46.3,54,-0.2,46.5
IA-151,Pocahontas County,46,55,-0.3,46.3
IA-153,Polk County,49.2,59,0.1,49.1
IA-155,Pottawattamie County,49.4,67,0,49.4
IA-157,Poweshiek County,48.6,84,0.5,48.1
IA-159,Ringgold County,50.4,95,0.8,49.6
IA-161,Sac County,46.7,68,0.1,46.6
IA-163,Scott County,49.4,82,0.5,48.9
IA-165,Shelby County,48.1,69,0.1,48
IA-167,Sioux County,45.4,48,-0.4,45.8
IA-169,Story County,48,74,0.3,47.7
IA-171,Tama County,47.3,69,0.1,47.2
IA-173,Taylor County,50.3,88,0.8,49.5
IA-175,Union County,49.3,75,0.3,49
IA-177,Van Buren County,49.8,26,-1.1,50.9
IA-179,Wapello County,50.3,74,0.3,50
IA-181,Warren County,49.7,53,-0.2,49.9
IA-183,Washington County,48.9,46,-0.3,49.2
IA-185,Wayne County,50.2,71,0.2,50
IA-187,Webster County,46.7,57,-0.1,46.8
IA-189,Winnebago County,44,50,-0.5,44.5
IA-191,Winneshiek County,44.8,79,0.5,44.3
IA-193,Woodbury County,47.2,59,-0.1,47.3
IA-195,Worth County,44,54,-0.4,44.4
IA-197,Wright County,45.6,55,-0.2,45.8
KS-001,Allen County,56.1,72,0.1,56
KS-003,Anderson County,55.4,73,0.1,55.3
KS-005,Atchison County,53.7,86,0.7,53
KS-007,Barber County,57.1,86,0.5,56.6
KS-009,Barton County,54.2,56,-0.2,54.4
KS-011,Bourbon County,56.2,67,0.1,56.1
KS-013,Brown County,52.8,85,0.6,52.2
KS-015,Butler County,56.4,89,0.8,55.6
KS-017,Chase County,55.2,86,0.6,54.6
KS-019,Chautauqua County,57.2,56,-0.2,57.4
KS-021,Cherokee County,58,85,0.5,57.5
KS-023,Cheyenne County,52.1,99,1.3,50.8
KS-025,Clark County,57,83,0.5,56.5
KS-027,Clay County,54.4,88,0.8,53.6
KS-029,Cloud County,53.5,75,0.3,53.2
KS-031,Coffey County,55.9,93,0.9,55
KS-033,Comanche County,56.9,82,0.4,56.5
KS-035,Cowley County,56.8,65,-0.1,56.9
KS-037,Crawford County,56.9,76,0.2,56.7
KS-039,Decatur County,51.8,73,0.4,51.4
KS-041,Dickinson County,55.6,96,1.3,54.3
KS-043,Doniphan County,53.3,77,0.4,52.9
KS-045,Douglas County,55.3,92,0.9,54.4
KS-047,Edwards County,54.9,69,0.1,54.8
KS-049,Elk County,56.5,67,0,56.5
KS-051,Ellis County,53.8,74,0.3,53.5
KS-053,Ellsworth County,55.1,83,0.7,54.4
KS-055,Finney County,54.5,92,1.1,53.4
KS-057,Ford County,55.4,85,0.7,54.7
KS-059,Franklin County,55.5,90,0.7,54.8
KS-061,Geary County,55.1,93,1.1,54
KS-063,Gove County,53.1,75,0.5,52.6
KS-065,Graham County,52.8,66,0.1,52.7
KS-067,Grant County,55.3,89,0.9,54.4
KS-069,Gray County,55,88,0.9,54.1
KS-071,Greeley County,52.9,93,1.1,51.8
KS-073,Greenwood County,56,86,0.5,55.5
KS-075,Hamilton County,54.2,84,0.8,53.4
KS-077,Harper County,57.5,82,0.5,57
KS-079,Harvey County,56.3,93,0.9,55.4
KS-081,Haskell County,55.3,91,1,54.3
KS-083,Hodgeman County,55.2,87,0.7,54.5
KS-085,Jackson County,53.7,90,0.8,52.9
KS-087,Jefferson County,54.5,93,0.9,53.6
KS-089,Jewell County,52.2,71,0.2,52
KS-091,Johnson County,54.9,87,0.7,54.2
KS-093,Kearny County,54.6,94,1.2,53.4
KS-095,Kingman County,56.3,76,0.2,56.1
KS-097,Kiowa County,55.4,63,0.1,55.3
KS-099,Labette County,57.7,71,0.1,57.6
KS-101,Lane County,53.7,82,0.8,52.9
KS-103,Leavenworth County,54.8,92,1,53.8
KS-105,Lincoln County,54.6,87,0.7,53.9
KS-107,Linn County,55.7,73,0.2,55.5
KS-109,Logan County,53.1,84,0.9,52.2
KS-111,Lyon County,55.4,93,1,54.4
KS-113,McPherson County,56,96,1.2,54.8
KS-115,Marion County,55.6,95,1,54.6
KS-117,Marshall County,52.6,76,0.2,52.4
KS-119,Meade County,56.4,81,0.5,55.9
KS-121,Miami County,55.2,84,0.5,54.7
KS-123,Mitchell County,53.2,72,0.1,53.1
KS-125,Montgomery County,57.8,60,0,57.8
KS-127,Morris County,55.1,98,1.4,53.7
KS-129,Morton County,55.8,87,0.8,55
KS-131,Nemaha County,52.4,82,0.4,52
KS-133,Neosho County,56.7,61,-0.1,56.8
KS-135,Ness County,54.3,72,0.3,54
KS-137,Norton County,51.4,54,-0.2,51.6
KS-139,Osage County,55.8,102,1.5,54.3
KS-141,Osborne County,53.3,71,0.1,53.2
KS-143,Ottawa County,55,90,1.2,53.8
KS-145,Pawnee County,54.4,56,-0.1,54.5
KS-147,Phillips County,52,58,-0.2,52.2
KS-149,Pottawatomie County,53.9,87,0.7,53.2
KS-151,Pratt County,55.4,62,0,55.4
KS-153,Rawlins County,51.8,83,0.8,51
KS-155,Reno County,55.8,73,0.3,55.5
KS-157,Republic County,52.4,77,0.4,52
KS-159,Rice County,55.2,76,0.4,54.8
KS-161,Riley County,54.5,92,0.9,53.6
KS-163,Rooks County,53.1,65,0,53.1
KS-165,Rush County,54.1,68,0.1,54
KS-167,Russell County,54.4,78,0.6,53.8
KS-169,Saline County,56.1,102,1.6,54.5
KS-171,Scott County,53.7,90,1.1,52.6
KS-173,Sedgwick County,57,89,0.8,56.2
KS-175,Seward County,56.2,87,0.8,55.4
KS-177,Shawnee County,55.2,96,1.2,54
KS-179,Sheridan County,52.6,81,0.7,51.9
KS-181,Sherman County,52.1,102,1.5,50.6
KS-183,Smith County,52.1,63,-0.1,52.2
KS-185,Stafford County,54.6,50,-0.2,54.8
KS-187,Stanton County,55.2,86,0.8,54.4
KS-189,Stevens County,55.9,86,0.8,55.1
KS-191,Sumner County,57.5,78,0.4,57.1
KS-193,Thomas County,52.1,86,0.9,51.2
KS-195,Trego County,53.4,68,0.2,53.2
KS-197,Wabaunsee County,54.9,95,1.2,53.7
KS-199,Wallace County,52.7,93,1.3,51.4
KS-201,Washington County,52.6,77,0.3,52.3
KS-203,Wichita County,53.4,93,1.1,52.3
KS-205,Wilson County,57.1,74,0.2,56.9
KS-207,Woodson County,56.3,84,0.4,55.9
KS-209,Wyandotte County,55.1,93,1,54.1
KY-001,Adair County,58.6,123,3,55.6
KY-003,Allen County,59,113,1.8,57.2
KY-005,Anderson County,56.9,118,2.3,54.6
KY-007,Ballard County,59.2,118,2,57.2
KY-009,Barren County,58.7,115,1.8,56.9
KY-011,Bath County,55.8,104,1.4,54.4
KY-013,Bell County,55.8,104,1.2,54.6
KY-015,Boone County,55.8,118,2.4,53.4
KY-017,Bourbon County,56.2,118,2.3,53.9
KY-019,Boyd County,56.6,120,2.5,54.1
KY-021,Boyle County,56.5,112,1.8,54.7
KY-023,Bracken County,55.4,115,2,53.4
KY-025,Breathitt County,57,108,1.4,55.6
KY-027,Breckinridge County,56.8,106,1.5,55.3
KY-029,Bullitt County,57.4,114,2,55.4
KY-031,Butler County,58.7,115,2,56.7
KY-033,Caldwell County,58.3,100,1.2,57.1
KY-035,Calloway County,59.5,112,1.7,57.8
KY-037,Campbell County,55.8,116,2.2,53.6
KY-039,Carlisle County,59.3,114,1.8,57.5
KY-041,Carroll County,56.9,121,2.7,54.2
KY-043,Carter County,55.5,117,1.9,53.6
KY-045,Casey County,57.3,122,2.5,54.8
KY-047,Christian County,59.4,117,2.1,57.3
KY-049,Clark County,56.6,117,2.1,54.5
KY-051,Clay County,57.2,114,1.9,55.3
KY-053,Clinton County,59,124,3.1,55.9
KY-055,Crittenden County,57.9,97,1.1,56.8
KY-057,Cumberland County,59.4,123,2.8,56.6
KY-059,Daviess County,57.3,96,1.1,56.2
KY-061,Edmonson County,58.6,117,2.1,56.5
KY-063,Elliott County,55.6,107,1.6,54
KY-065,Estill County,57,113,1.6,55.4
KY-067,Fayette County,56.6,119,2.5,54.1
KY-069,Fleming County,55.3,105,1.4,53.9
KY-071,Floyd County,57.4,111,1.8,55.6
KY-073,Franklin County,57.1,121,2.6,54.5
KY-075,Fulton County,59.3,104,1.1,58.2
KY-077,Gallatin County,56.7,120,2.7,54
KY-079,Garrard County,56.9,115,1.9,55
KY-081,Grant County,56.2,118,2.5,53.7
KY-083,Graves County,59.2,110,1.6,57.6
KY-085,Grayson County,57.7,116,2.1,55.6
KY-087,Green County,58,117,2,56
KY-089,Greenup County,55.9,119,2.4,53.5
KY-091,Hancock County,56.5,84,0.6,55.9
KY-093,Hardin County,57,112,1.8,55.2
KY-095,Harlan County,54.7,104,1.2,53.5
KY-097,Harrison County,56.1,117,2.3,53.8
KY-099,Hart County,57.9,114,1.9,56
KY-101,Henderson County,57.5,95,1,56.5
KY-103,Henry County,56.8,121,2.7,54.1
KY-105,Hickman County,59.2,109,1.4,57.8
KY-107,Hopkins County,58.8,110,1.7,57.1
KY-109,Jackson County,56.5,114,1.8,54.7
KY-111,Jefferson County,57.6,116,2.3,55.3
KY-113,Jessamine County,56.9,118,2.3,54.6
KY-115,Johnson County,57,117,2.1,54.9
KY-117,Kenton County,55.7,116,2.3,53.4
KY-119,Knott County,56.5,109,1.4,55.1
KY-121,Knox County,57.1,113,1.8,55.3
KY-123,Larue County,56.9,108,1.5,55.4
KY-125,Laurel County,57.3,120,2.2,55.1
KY-127,Lawrence County,56.8,121,2.3,54.5
KY-129,Lee County,57,106,1.3,55.7
KY-131,Leslie County,56.4,110,1.5,54.9
KY-133,Letcher County,55.5,104,1.3,54.2
KY-135,Lewis County,55.1,110,1.7,53.4
KY-137,Lincoln County,56.7,116,2,54.7
KY-139,Livingston County,58.3,97,1.3,57
KY-141,Logan County,59,113,1.8,57.2
KY-143,Lyon County,58.7,100,1.2,57.5
KY-145,McCracken County,59.2,114,2,57.2
KY-147,McCreary County,57.7,121,2.6,55.1
KY-149,McLean County,58.3,108,1.7,56.6
KY-151,Madison County,57,115,1.9,55.1
KY-153,Magoffin County,56.7,111,1.7,55
KY-155,Marion County,56.9,111,1.7,55.2
KY-157,Marshall County,59.3,108,1.6,57.7
KY-159,Martin County,57.5,118,2.1,55.4
KY-161,Mason County,55.1,112,1.8,53.3
KY-163,Meade County,56.6,108,1.5,55.1
KY-165,Menifee County,55.7,101,1.2,54.5
KY-167,Mercer County,56.8,114,2.1,54.7
KY-169,Metcalfe County,58.2,119,2.2,56
KY-171,Monroe County,58.6,115,1.8,56.8
KY-173,Montgomery County,56.2,112,2,54.2
KY-175,Morgan County,56,106,1.4,54.6
KY-177,Muhlenberg County,58.8,113,1.8,57
KY-179,Nelson County,57,110,1.7,55.3
KY-181,Nicholas County,55.8,114,2,53.8
KY-183,Ohio County,58,109,1.8,56.2
KY-185,Oldham County,56.8,117,2.4,54.4
KY-187,Owen County,56.7,120,2.7,54
KY-189,Owsley County,57.2,111,1.5,55.7
KY-191,Pendleton County,56,115,2.2,53.8
KY-193,Perry County,56.6,109,1.3,55.3
KY-195,Pike County,57.4,116,1.9,55.5
KY-197,Powell County,56.6,108,1.5,55.1
KY-199,Pulaski County,58,123,2.8,55.2
KY-201,Robertson County,55.6,115,2,53.6
KY-203,Rockcastle County,56.8,117,2,54.8
KY-205,Rowan County,55,96,0.9,54.1
KY-207,Russell County,58.8,124,3.2,55.6
KY-209,Scott County,56.6,121,2.6,54
KY-211,Shelby County,56.7,118,2.4,54.3
KY-213,Simpson County,59.1,114,1.9,57.2
KY-215,Spencer County,57,115,2.1,54.9
KY-217,Taylor County,57.5,118,2.1,55.4
KY-219,Todd County,59.3,116,2.1,57.2
KY-221,Trigg County,59.4,114,1.7,57.7
KY-223,Trimble County,56.6,120,2.5,54.1
KY-225,Union County,57.6,91,0.9,56.7
KY-227,Warren County,59.3,116,2.1,57.2
KY-229,Washington County,56.7,111,1.8,54.9
KY-231,Wayne County,58.6,124,3.2,55.4
KY-233,Webster County,58.1,102,1.3,56.8
KY-235,Whitley County,57.4,117,1.9,55.5
KY-237,Wolfe County,56.3,101,1.3,55
KY-239,Woodford County,57,120,2.6,54.4
LA-001,Acadia Parish,69.5,117,1.5,68
LA-003,Allen Parish,68.2,111,1,67.2
LA-005,Ascension Parish,69.8,123,2.2,67.6
LA-007,Assumption Parish,70.5,125,2.5,68
LA-009,Avoyelles Parish,67.8,111,1.2,66.6
LA-011,Beauregard Parish,68.4,119,1.7,66.7
LA-013,Bienville Parish,66.4,122,2.3,64.1
LA-015,Bossier Parish,66.6,122,2.3,64.3
LA-017,Caddo Parish,66.6,118,1.9,64.7
LA-019,Calcasieu Parish,69.8,124,2.1,67.7
LA-021,Caldwell Parish,66.3,117,1.5,64.8
LA-023,Cameron Parish,70.6,125,2.2,68.4
LA-025,Catahoula Parish,66.8,106,1.1,65.7
LA-027,Claiborne Parish,65.2,117,1.7,63.5
LA-029,Concordia Parish,67,105,0.9,66.1
LA-031,De Soto Parish,66.5,116,1.6,64.9
LA-033,East Baton Rouge Parish,69,118,1.9,67.1
LA-035,East Carroll Parish,65.4,104,1.3,64.1
LA-037,East Feliciana Parish,68.4,123,2.1,66.3
LA-039,Evangeline Parish,68.4,112,1.2,67.2
LA-041,Franklin Parish,66.4,112,1.3,65.1
LA-043,Grant Parish,66.9,110,1.2,65.7
LA-045,Iberia Parish,70.1,121,2,68.1
LA-047,Iberville Parish,69.5,117,1.9,67.6
LA-049,Jackson Parish,65.9,119,2,63.9
LA-051,Jefferson Parish,71,124,2.3,68.7
LA-053,Jefferson Davis Parish,69.4,114,1.3,68.1
LA-055,Lafayette Parish,69.7,118,1.9,67.8
LA-057,Lafourche Parish,71.4,125,2.6,68.8
LA-059,La Salle Parish,66.9,115,1.3,65.6
LA-061,Lincoln Parish,65.6,120,2.1,63.5
LA-063,Livingston Parish,69.2,121,2.1,67.1
LA-065,Madison Parish,66.2,114,1.5,64.7
LA-067,Morehouse Parish,65.6,119,1.8,63.8
LA-069,Natchitoches Parish,67.1,117,1.7,65.4
LA-071,Orleans Parish,70.5,125,2.4,68.1
LA-073,Ouachita Parish,65.7,115,1.5,64.2
LA-075,Plaquemines Parish,71.2,124,2.2,69
LA-077,Pointe Coupee Parish,68.6,113,1.5,67.1
LA-079,Rapides Parish,67.7,115,1.4,66.3
LA-081,Red River Parish,66.9,120,2.2,64.7
LA-083,Richland Parish,65.9,111,1.3,64.6
LA-085,Sabine Parish,66.9,120,1.7,65.2
LA-087,St. Bernard Parish,70.5,125,2.4,68.1
LA-089,St. Charles Parish,70.9,125,2.5,68.4
LA-091,St. Helena Parish,68.5,125,2.5,66
LA-093,St. James Parish,70.4,125,2.4,68
LA-095,St. John the Baptist Parish,70.3,125,2.4,67.9
LA-097,St. Landry Parish,68.8,116,1.5,67.3
LA-099,St. Martin Parish,69.9,123,2,67.9
LA-101,St. Mary Parish,70.7,125,2.4,68.3
LA-103,St. Tammany Parish,69.1,122,2.3,66.8
LA-105,Tangipahoa Parish,68.9,125,2.5,66.4
LA-107,Tensas Parish,66.5,107,1.2,65.3
LA-109,Terrebonne Parish,71.8,125,3,68.8
LA-111,Union Parish,65.6,121,2,63.6
LA-113,Vermilion Parish,70.3,122,1.9,68.4
LA-115,Vernon Parish,67.5,118,1.8,65.7
LA-117,Washington Parish,68.1,122,2.2,65.9
LA-119,Webster Parish,66.2,121,2.2,64
LA-121,West Baton Rouge Parish,69.1,114,1.8,67.3
LA-123,West Carroll Parish,65.4,110,1.4,64
LA-125,West Feliciana Parish,68.2,113,1.6,66.6
LA-127,Winn Parish,66.5,118,1.7,64.8
ME-001,Androscoggin County,44.9,106,1.8,43.1
ME-003,Aroostook County,38.9,99,1.2,37.7
ME-005,Cumberland County,45.6,106,1.8,43.8
ME-007,Franklin County,40.1,108,1.7,38.4
ME-009,Hancock County,44.8,110,1.8,43
ME-011,Kennebec County,44.8,108,1.9,42.9
ME-013,Knox County,45.1,108,1.8,43.3
ME-015,Lincoln County,45.5,110,2,43.5
ME-017,Oxford County,42.3,107,1.9,40.4
ME-019,Penobscot County,42.8,107,1.7,41.1
ME-021,Piscataquis County,39.8,102,1.5,38.3
ME-023,Sagadahoc County,45.7,105,1.8,43.9
ME-025,Somerset County,40,102,1.5,38.5
ME-027,Waldo County,44.6,113,1.9,42.7
ME-029,Washington County,44.1,110,2.1,42
ME-031,York County,46.2,107,1.5,44.7
MD-001,Allegany County,53,112,1.7,51.3
MD-003,Anne Arundel County,57.8,116,2.4,55.4
MD-005,Baltimore County,55.2,111,2.2,53
MD-009,Calvert County,58.2,120,2.6,55.6
MD-011,Caroline County,57.7,121,3.1,54.6
MD-013,Carroll County,53.9,112,2.1,51.8
MD-015,Cecil County,55.3,111,2,53.3
MD-017,Charles County,58.2,117,2.6,55.6
MD-019,Dorchester County,58.7,122,3,55.7
MD-021,Frederick County,54.5,112,2,52.5
MD-023,Garrett County,49.3,116,2,47.3
MD-025,Harford County,55,107,1.7,53.3
MD-027,Howard County,55.2,113,2.3,52.9
MD-029,Kent County,56.5,111,1.9,54.6
MD-031,Montgomery County,55.6,113,2.2,53.4
MD-033,Prince George's County,57.4,118,2.4,55
MD-035,Queen Anne's County,57,114,2.3,54.7
MD-037,St. Mary's County,58.6,120,2.6,56
MD-039,Somerset County,59.3,121,3.2,56.1
MD-041,Talbot County,58.2,120,2.7,55.5
MD-043,Washington County,54.1,111,2,52.1
MD-045,Wicomico County,58.7,121,3.3,55.4
MD-047,Worcester County,58.9,121,3.3,55.6
MD-510,Baltimore City,57.4,117,2.6,54.8
MD-511,"Washington, D.C.",57.5,116,2.4,55.1
MA-001,Barnstable County,51.6,120,2.6,49
MA-003,Berkshire County,46.4,114,2.3,44.1
MA-005,Bristol County,51.8,116,2.7,49.1
MA-007,Dukes County,52,115,2.6,49.4
MA-009,Essex County,49.8,115,2.4,47.4
MA-011,Franklin County,48.2,119,2.9,45.3
MA-013,Hampden County,49.2,115,2.4,46.8
MA-015,Hampshire County,48.6,114,2.3,46.3
MA-017,Middlesex County,50.4,116,2.8,47.6
MA-019,Nantucket County,51.4,120,2.8,48.6
MA-021,Norfolk County,51.3,119,3.1,48.2
MA-023,Plymouth County,51.6,115,2.8,48.8
MA-025,Suffolk County,51.6,119,3.1,48.5
MA-027,Worcester County,49.1,120,2.9,46.2
MI-001,Alcona County,44,99,1.6,42.4
MI-003,Alger County,40,55,-0.1,40.1
MI-005,Allegan County,48.7,92,1,47.7
MI-007,Alpena County,44.1,103,1.8,42.3
MI-009,Antrim County,44.3,103,1.6,42.7
MI-011,Arenac County,46.3,105,1.9,44.4
MI-013,Baraga County,38.6,71,0.5,38.1
